indice,nome,prioridade,x,y,z,rotacao,l,w,h
0,Cubo_0,1,1,5,1,1,1,1,1
1,Cubo_1,2,0,7,1,1,1,1,1
2,Cubo_2,3,3,5,0,1,1,1,1
3,Cubo_3,4,2,2,0,1,1,1,1
4,Cubo_4,5,1,1,0,0,1,1,1
5,Cubo_5,1,0,0,1,0,1,1,1
6,Cubo_6,2,0,3,0,1,1,1,1
7,Cubo_7,3,6,3,0,0,1,1,1
8,Cubo_8,4,3,2,0,0,1,1,1
9,Cubo_9,5,2,0,0,0,1,1,1
10,Cubo_10,1,1,3,1,1,1,1,1
11,Cubo_11,2,0,4,1,0,1,1,1
12,Cubo_12,3,5,3,0,0,1,1,1
13,Cubo_13,4,1,7,0,1,1,1,1
14,Cubo_14,5,1,0,0,1,1,1,1
15,Cubo_15,1,0,1,1,1,1,1,1
16,Cubo_16,2,0,5,0,0,1,1,1
17,Cubo_17,3,4,5,0,0,1,1,1
18,Cubo_18,4,0,0,0,0,1,1,1
19,Cubo_19,5,0,4,0,1,1,1,1
20,Cubo_20,1,1,0,1,1,1,1,1
21,Cubo_21,2,1,2,1,1,1,1,1
22,Cubo_22,3,4,3,0,0,1,1,1
23,Cubo_23,4,2,6,0,1,1,1,1
24,Cubo_24,5,3,0,0,1,1,1,1
25,Cubo_25,1,0,6,1,0,1,1,1
26,Cubo_26,2,1,6,1,1,1,1,1
27,Cubo_27,3,0,7,0,1,1,1,1
28,Cubo_28,4,1,6,0,0,1,1,1
29,Cubo_29,5,2,4,0,1,1,1,1
30,Cubo_30,1,0,3,1,0,1,1,1
31,Cubo_31,2,1,5,0,1,1,1,1
32,Cubo_32,3,2,5,0,0,1,1,1
33,Cubo_33,4,0,1,0,0,1,1,1
34,Cubo_34,5,3,1,0,1,1,1,1
35,Cubo_35,1,0,2,1,1,1,1,1
36,Cubo_36,2,1,3,0,0,1,1,1
37,Cubo_37,3,0,6,0,0,1,1,1
38,Cubo_38,4,0,2,0,0,1,1,1
39,Cubo_39,5,3,4,0,0,1,1,1
40,Cubo_40,1,1,1,1,1,1,1,1
41,Cubo_41,2,1,4,1,0,1,1,1
42,Cubo_42,3,3,3,0,1,1,1,1
43,Cubo_43,4,2,7,0,1,1,1,1
44,Cubo_44,5,2,1,0,1,1,1,1
45,Cubo_45,1,0,5,1,1,1,1,1
46,Cubo_46,2,2,3,0,1,1,1,1
47,Cubo_47,3,5,5,0,1,1,1,1
48,Cubo_48,4,1,2,0,1,1,1,1
49,Cubo_49,5,1,4,0,1,1,1,1
