indice,nome,prioridade,x,y,z,rotacao,l,w,h
0,Box_0_1x1x1_1,1,0,1,1,0,1,1,1
1,Box_0_1x1x1_2,1,0,5,2,1,1,1,1
2,Box_0_1x1x1_3,1,0,1,2,1,1,1,1
3,Box_0_1x1x1_4,1,3,1,1,1,1,1,1
4,Box_0_1x1x1_5,1,4,1,1,0,1,1,1
5,Box_0_1x1x1_6,1,2,1,1,1,1,1,1
6,Box_0_1x1x1_7,1,1,1,1,0,1,1,1
7,Box_0_1x1x1_8,1,5,1,1,1,1,1,1
8,Box_1_1x1x4_1,2,0,0,1,0,1,1,4
9,Box_1_1x1x4_2,2,2,0,1,0,1,1,4
10,Box_1_1x1x4_3,2,1,0,1,1,1,1,4
11,Box_1_1x1x4_4,2,3,0,1,0,1,1,4
12,Box_2_4x1x1_1,3,2,7,1,0,4,1,1
13,Box_2_4x1x1_2,3,1,5,1,1,1,4,1
14,Box_2_4x1x1_3,3,2,8,1,0,4,1,1
15,Box_2_4x1x1_4,3,0,5,1,1,1,4,1
16,Box_3_3x3x3_1,4,0,2,0,1,3,3,3
17,Box_3_3x3x3_2,4,3,2,1,1,3,3,3
18,Box_4_1x1x1_1,5,6,2,0,0,1,1,1
19,Box_4_1x1x1_2,5,5,8,0,0,1,1,1
20,Box_4_1x1x1_3,5,2,7,0,0,1,1,1
21,Box_4_1x1x1_4,5,2,8,0,0,1,1,1
22,Box_4_1x1x1_5,5,6,8,0,0,1,1,1
23,Box_4_1x1x1_6,5,1,8,0,1,1,1,1
24,Box_4_1x1x1_7,5,1,7,0,1,1,1,1
25,Box_4_1x1x1_8,5,5,7,0,0,1,1,1
26,Box_4_1x1x1_9,5,5,2,0,1,1,1,1
27,Box_4_1x1x1_10,5,3,7,0,0,1,1,1
28,Box_4_1x1x1_11,5,6,7,0,1,1,1,1
29,Box_4_1x1x1_12,5,3,3,0,0,1,1,1
30,Box_4_1x1x1_13,5,4,8,0,0,1,1,1
31,Box_4_1x1x1_14,5,4,7,0,1,1,1,1
32,Box_4_1x1x1_15,5,0,7,0,1,1,1,1
33,Box_4_1x1x1_16,5,3,4,0,1,1,1,1
34,Box_4_1x1x1_17,5,3,8,0,0,1,1,1
35,Box_4_1x1x1_18,5,3,2,0,0,1,1,1
36,Box_4_1x1x1_19,5,4,2,0,1,1,1,1
37,Box_4_1x1x1_20,5,0,8,0,1,1,1,1
38,Box_5_2x2x1_1,6,0,0,0,0,2,2,1
39,Box_5_2x2x1_2,6,4,0,0,0,2,2,1
40,Box_5_2x2x1_3,6,4,3,0,1,2,2,1
41,Box_5_2x2x1_4,6,2,0,0,1,2,2,1
42,Box_5_2x2x1_5,6,4,5,0,0,2,2,1
43,Box_5_2x2x1_6,6,0,5,0,1,2,2,1
44,Box_5_1x2x2_1,6,2,6,0,1,2,1,2
45,Box_5_1x2x2_2,6,2,5,0,1,2,1,2
